Area,Pop_Change,Births,Deaths,Natural_Increase,Total_InMig,Total_OutMig,Total_NetMig,CB_InMig,CB_OutMig,CB_NetMig,Int_InMig,Int_OutMig,Int_NetMig,Year,Level,Birth_Death_Ratio,Migration_Share,CB_Share,Growth_Class
305 Niemenmäki,31.0,9.0,10.0,-1.0,256.0,220.0,36.0,123.0,87.0,36.0,133.0,133.0,0.0,2008,sub_area,0.89999999991,0.9729729729466765,0.9999999999722223,Slight Growth
306 Talinranta,9.0,8.0,3.0,5.0,262.0,258.0,4.0,85.0,96.0,-11.0,177.0,162.0,15.0,2008,sub_area,2.6666666657777776,0.4444444443950617,-2.7499999993125,Slight Growth
203 Haaga,102.0,302.0,257.0,45.0,5948.0,5890.0,58.0,2188.0,1918.0,270.0,3760.0,3972.0,-212.0,2008,sub_area,1.1750972762600191,0.5631067961110378,4.655172413712842,Moderate Growth
291 Etelä-Haaga,11.0,131.0,99.0,32.0,2941.0,2943.0,-2.0,1082.0,975.0,107.0,1859.0,1968.0,-109.0,2008,sub_area,1.3232323232189571,0.05882352941003461,53.49999997325,Slight Growth
292 Kivihaka,10.0,6.0,10.0,-4.0,142.0,127.0,15.0,58.0,57.0,1.0,84.0,70.0,14.0,2008,sub_area,0.59999999994,0.7894736841689751,0.06666666666222222,Slight Growth
293 Pohjois-Haaga,5.0,107.0,96.0,11.0,1930.0,1951.0,-21.0,750.0,637.0,113.0,1180.0,1314.0,-134.0,2008,sub_area,1.114583333321723,0.6562499999794923,5.3809523806961455,Slight Growth
294 Lassila,76.0,58.0,52.0,6.0,935.0,869.0,66.0,298.0,249.0,49.0,637.0,620.0,17.0,2008,sub_area,1.1153846153631657,0.9166666666539351,0.7424242424129935,Slight Growth
204 Pitäjänmäki,175.0,175.0,94.0,81.0,2942.0,2834.0,108.0,1129.0,1068.0,61.0,1813.0,1766.0,47.0,2008,sub_area,1.861702127639769,0.571428571425548,0.5648148148095851,Moderate Growth
320 Konala,50.0,58.0,30.0,28.0,839.0,807.0,32.0,326.0,313.0,13.0,513.0,494.0,19.0,2008,sub_area,1.933333333268889,0.5333333333244444,0.4062499999873047,Slight Growth
461 Pajamäki,39.0,16.0,13.0,3.0,334.0,295.0,39.0,137.0,110.0,27.0,197.0,185.0,12.0,2008,sub_area,1.2307692306745561,0.9285714285493198,0.6923076922899409,Slight Growth
462 Tali,27.0,17.0,2.0,15.0,264.0,249.0,15.0,71.0,80.0,-9.0,193.0,169.0,24.0,2008,sub_area,8.49999999575,0.49999999998333333,-0.59999999996,Slight Growth
463 Reimarla,-53.0,45.0,41.0,4.0,966.0,1025.0,-59.0,405.0,374.0,31.0,561.0,651.0,-90.0,2008,sub_area,1.0975609755829865,0.9365079364930714,0.5254237288046538,Slight Decline
464 Marttila,5.0,4.0,1.0,3.0,40.0,39.0,1.0,13.0,18.0,-5.0,27.0,21.0,6.0,2008,sub_area,3.9999999959999997,0.2499999999375,-4.999999995,Slight Growth
465 Pitäjänmäen teoll.al.,107.0,35.0,7.0,28.0,499.0,419.0,80.0,177.0,173.0,4.0,322.0,246.0,76.0,2008,sub_area,4.9999999992857145,0.740740740733882,0.049999999999374996,Moderate Growth
205 Kaarela,388.0,286.0,160.0,126.0,5561.0,5291.0,270.0,2216.0,1892.0,324.0,3345.0,3399.0,-54.0,2008,sub_area,1.7874999999888281,0.68181818181646,1.1999999999955555,Moderate Growth
331 Kannelmäki,265.0,119.0,103.0,16.0,2846.0,2588.0,258.0,1084.0,880.0,204.0,1762.0,1708.0,54.0,2008,sub_area,1.1553398058140258,0.9416058394126219,0.79069767441554,Moderate Growth
332 Maununneva,-5.0,29.0,14.0,15.0,223.0,247.0,-24.0,59.0,71.0,-12.0,164.0,176.0,-12.0,2008,sub_area,2.071428571280612,0.6153846153688364,-0.49999999997916666,Slight Decline
333 Malminkartano,102.0,104.0,31.0,73.0,2122.0,2088.0,34.0,921.0,806.0,115.0,1201.0,1282.0,-81.0,2008,sub_area,3.354838709569199,0.3177570093428247,3.38235294107699,Moderate Growth
334 Hakuninmaa,24.0,33.0,11.0,22.0,363.0,364.0,-1.0,150.0,133.0,17.0,213.0,231.0,-18.0,2008,sub_area,2.999999999727273,0.04347826086767486,16.999999983,Slight Growth
335 Kuninkaantammi,2.0,1.0,1.0,0.0,7.0,4.0,3.0,2.0,2.0,0.0,5.0,2.0,3.0,2008,sub_area,0.9999999989999999,0.9999999996666666,0.0,Slight Growth
3 Keskinen suurpiiri,1454.0,741.0,710.0,31.0,20249.0,18749.0,1500.0,6761.0,4868.0,1893.0,13488.0,13881.0,-393.0,2008,major_district,1.043661971829516,0.9797517962109864,1.2619999999991587,Strong Growth
301 Kallio,293.0,184.0,233.0,-49.0,7340.0,6949.0,391.0,2576.0,1775.0,801.0,4764.0,5174.0,-410.0,2008,sub_area,0.7896995708120614,0.8886363636343441,2.0485933503783924,Moderate Growth
100 Sörnäinen,69.0,51.0,38.0,13.0,1874.0,1808.0,66.0,654.0,479.0,175.0,1220.0,1329.0,-109.0,2008,sub_area,1.3421052631225763,0.8354430379641082,2.651515151474977,Slight Growth
111 Siltasaari,-11.0,33.0,26.0,7.0,523.0,546.0,-23.0,191.0,146.0,45.0,332.0,400.0,-68.0,2008,sub_area,1.2692307691819527,0.7666666666411112,1.9565217390453686,Slight Decline
112 Linjat,226.0,53.0,110.0,-57.0,2794.0,2486.0,308.0,923.0,648.0,275.0,1871.0,1838.0,33.0,2008,sub_area,0.48181818181380165,0.8438356164360443,0.892857142854244,Moderate Growth
113 Torkkelinmäki,9.0,47.0,59.0,-12.0,2149.0,2109.0,40.0,808.0,502.0,306.0,1341.0,1607.0,-266.0,2008,sub_area,0.7966101694780237,0.7692307692159763,7.649999999808751,Slight Growth
302 Alppiharju,99.0,86.0,110.0,-24.0,3442.0,3294.0,148.0,1248.0,817.0,431.0,2194.0,2477.0,-283.0,2008,sub_area,0.7818181818110743,0.8604651162740671,2.9121621621424856,Slight Growth
121 Harju,114.0,50.0,70.0,-20.0,2258.0,2109.0,149.0,843.0,536.0,307.0,1415.0,1573.0,-158.0,2008,sub_area,0.7142857142755101,0.8816568047285109,2.0604026845499304,Moderate Growth
122 Alppila,-15.0,36.0,40.0,-4.0,1184.0,1185.0,-1.0,405.0,281.0,124.0,779.0,904.0,-125.0,2008,sub_area,0.8999999999775001,0.19999999996,123.99999987599999,Slight Decline
303 Vallila,534.0,134.0,76.0,58.0,3330.0,2854.0,476.0,1049.0,748.0,301.0,2281.0,2106.0,175.0,2008,sub_area,1.7631578947136426,0.8913857677885929,0.6323529411751422,Strong Growth
210 Hermanni,245.0,41.0,21.0,20.0,1010.0,791.0,219.0,245.0,236.0,9.0,765.0,555.0,210.0,2008,sub_area,1.9523809522879818,0.9163179916279652,0.04109589041077125,Moderate Growth
220 Vallila,289.0,93.0,55.0,38.0,2320.0,2063.0,257.0,804.0,512.0,292.0,1516.0,1551.0,-35.0,2008,sub_area,1.6909090908783473,0.8711864406750129,1.1361867704235946,Moderate Growth
304 Pasila,100.0,82.0,83.0,-1.0,1884.0,1782.0,102.0,741.0,540.0,201.0,1143.0,1242.0,-99.0,2008,sub_area,0.9879518072170126,0.9902912621263078,1.970588235274798,Slight Growth
171 Länsi-Pasila,60.0,42.0,22.0,20.0,961.0,921.0,40.0,336.0,245.0,91.0,625.0,676.0,-51.0,2008,sub_area,1.9090909090041321,0.6666666666555556,2.2749999999431254,Slight Growth
173 Itä-Pasila,35.0,36.0,61.0,-25.0,894.0,833.0,61.0,394.0,289.0,105.0,500.0,544.0,-44.0,2008,sub_area,0.5901639344165547,0.7093023255731477,1.7213114753816179,Slight Growth
174 Keski-Pasila,5.0,4.0,,4.0,29.0,28.0,1.0,11.0,6.0,5.0,18.0,22.0,-4.0,2008,sub_area,,0.19999999996,4.999999995,Slight Growth
305 Vanhakaupunki,428.0,255.0,208.0,47.0,4253.0,3870.0,383.0,1147.0,988.0,159.0,3106.0,2882.0,224.0,2008,sub_area,1.2259615384556444,0.8906976744165332,0.4151436031320754,Moderate Growth
231 Toukola,15.0,17.0,13.0,4.0,242.0,229.0,13.0,74.0,58.0,16.0,168.0,171.0,-3.0,2008,sub_area,1.307692307591716,0.7647058823079584,1.2307692306745561,Slight Growth
232 Arabianranta,357.0,54.0,8.0,46.0,1010.0,707.0,303.0,255.0,190.0,65.0,755.0,517.0,238.0,2008,sub_area,6.74999999915625,0.8681948424043892,0.21452145214450655,Moderate Growth
240 Kumpula,12.0,57.0,15.0,42.0,885.0,908.0,-23.0,272.0,227.0,45.0,613.0,681.0,-68.0,2008,sub_area,3.7999999997466665,0.35384615384071005,1.9565217390453686,Slight Growth
250 Käpylä,-20.0,95.0,125.0,-30.0,1262.0,1235.0,27.0,301.0,301.0,0.0,961.0,934.0,27.0,2008,sub_area,0.75999999999392,0.4736842105180056,0.0,Slight Decline
260 Koskela,43.0,26.0,47.0,-21.0,799.0,752.0,47.0,227.0,201.0,26.0,572.0,551.0,21.0,2008,sub_area,0.5531914893499321,0.6911764705780709,0.5531914893499321,Slight Growth
270 Vanhakaupunki,21.0,6.0,,6.0,55.0,39.0,16.0,18.0,11.0,7.0,37.0,28.0,9.0,2008,sub_area,,0.7272727272396694,0.43749999997265626,Slight Growth
4 Pohjoinen suurpiiri,252.0,422.0,324.0,98.0,5602.0,5434.0,168.0,1526.0,1489.0,37.0,4076.0,3945.0,131.0,2008,major_district,1.3024691357984493,0.6315789473660467,0.2202380952367843,Moderate Growth
401 Maunula,73.0,82.0,116.0,-34.0,1372.0,1258.0,114.0,360.0,339.0,21.0,1012.0,919.0,93.0,2008,sub_area,0.706896551718044,0.7702702702650658,0.1842105263141736,Slight Growth
281 Pirkkola,1.0,3.0,1.0,2.0,41.0,42.0,-1.0,18.0,17.0,1.0,23.0,25.0,-2.0,2008,sub_area,2.9999999969999998,0.3333333332222222,0.9999999989999999,Slight Growth
282 Maunula,67.0,72.0,109.0,-37.0,1166.0,1063.0,103.0,284.0,277.0,7.0,882.0,786.0,96.0,2008,sub_area,0.6605504587095362,0.7357142857090306,0.06796116504788387,Slight Growth
283 Metsälä,6.0,7.0,6.0,1.0,164.0,151.0,13.0,58.0,44.0,14.0,106.0,107.0,-1.0,2008,sub_area,1.1666666664722223,0.928571428505102,1.0769230768402367,Slight Growth
402 Länsi-Pakila,98.0,51.0,48.0,3.0,672.0,572.0,100.0,196.0,171.0,25.0,476.0,401.0,75.0,2008,sub_area,1.0624999999778646,0.970873786398341,0.2499999999975,Slight Growth
341 Länsi-Pakila,98.0,51.0,48.0,3.0,672.0,572.0,100.0,196.0,171.0,25.0,476.0,401.0,75.0,2008,sub_area,1.0624999999778646,0.970873786398341,0.2499999999975,Slight Growth
403 Tuomarinkylä,12.0,87.0,39.0,48.0,783.0,826.0,-43.0,193.0,228.0,-35.0,590.0,598.0,-8.0,2008,sub_area,2.2307692307120317,0.4725274725222799,-0.813953488353164,Slight Growth
351 Paloheinä,-22.0,60.0,27.0,33.0,483.0,544.0,-61.0,122.0,157.0,-35.0,361.0,387.0,-26.0,2008,sub_area,2.2222222221399175,0.6489361702058624,-0.5737704917938726,Slight Decline
352 Torpparinmäki,33.0,27.0,12.0,15.0,299.0,282.0,17.0,70.0,71.0,-1.0,229.0,211.0,18.0,2008,sub_area,2.2499999998125,0.5312499999833985,-0.0588235294083045,Slight Growth
404 Oulunkylä,-34.0,161.0,94.0,67.0,2167.0,2265.0,-98.0,651.0,636.0,15.0,1516.0,1629.0,-113.0,2008,sub_area,1.7127659574285876,0.5939393939357943,0.15306122448823406,Slight Decline
284 Patola,-3.0,107.0,69.0,38.0,1512.0,1551.0,-39.0,456.0,417.0,39.0,1056.0,1134.0,-78.0,2008,sub_area,1.5507246376586852,0.5064935064869286,0.9999999999743591,Slight Decline
285 Veräjämäki,-18.0,26.0,18.0,8.0,415.0,441.0,-26.0,148.0,138.0,10.0,267.0,303.0,-36.0,2008,sub_area,1.4444444443641975,0.7647058823304499,0.3846153846005917,Slight Decline
287 Veräjälaakso,-13.0,28.0,7.0,21.0,240.0,273.0,-33.0,47.0,81.0,-34.0,193.0,192.0,1.0,2008,sub_area,3.9999999994285713,0.6111111110997943,-1.030303030271809,Slight Decline
405 Itä-Pakila,103.0,41.0,27.0,14.0,608.0,513.0,95.0,126.0,115.0,11.0,482.0,398.0,84.0,2008,sub_area,1.5185185184622771,0.871559633019527,0.11578947368299168,Moderate Growth
342 Itä-Pakila,49.0,37.0,24.0,13.0,528.0,487.0,41.0,122.0,114.0,8.0,406.0,373.0,33.0,2008,sub_area,1.5416666666024306,0.759259259245199,0.19512195121475315,Slight Growth
353 Tuomarinkartano,54.0,4.0,3.0,1.0,80.0,26.0,54.0,4.0,1.0,3.0,76.0,25.0,51.0,2008,sub_area,1.3333333328888888,0.9818181818003306,0.05555555555452675,Slight Growth
5 Koillinen suurpiiri,968.0,1168.0,612.0,556.0,15751.0,15305.0,446.0,4445.0,4589.0,-144.0,11306.0,10716.0,590.0,2008,major_district,1.9084967320230253,0.44510978043867755,-0.32286995515622674,Strong Growth
501 Latokartano,1101.0,326.0,139.0,187.0,4692.0,3790.0,902.0,1270.0,1126.0,144.0,3422.0,2664.0,758.0,2008,sub_area,2.3453237409903216,0.8282828282820677,0.15964523281578755,Strong Growth
361 Viikinranta,143.0,21.0,2.0,19.0,232.0,105.0,127.0,59.0,31.0,28.0,173.0,74.0,99.0,2008,sub_area,10.49999999475,0.8698630136926723,0.2204724409431459,Moderate Growth
362 Latokartano,932.0,152.0,7.0,145.0,2067.0,1299.0,768.0,438.0,383.0,55.0,1629.0,916.0,713.0,2008,sub_area,21.714285711183674,0.8411829134711488,0.07161458333324008,Strong Growth
363 Viikin tiedepuisto,-22.0,4.0,1.0,3.0,404.0,432.0,-28.0,187.0,169.0,18.0,217.0,263.0,-46.0,2008,sub_area,3.9999999959999997,0.9032258064224766,0.6428571428341837,Slight Decline
364 Viikinmäki,11.0,30.0,8.0,22.0,216.0,229.0,-13.0,40.0,62.0,-22.0,176.0,167.0,9.0,2008,sub_area,3.74999999953125,0.3714285714179592,-1.6923076921775149,Slight Growth
383 Pihlajamäki,41.0,94.0,89.0,5.0,1376.0,1335.0,41.0,449.0,384.0,65.0,927.0,951.0,-24.0,2008,sub_area,1.0561797752690316,0.8913043478067109,1.5853658536198694,Slight Growth
386 Pihlajisto,-4.0,25.0,32.0,-7.0,397.0,390.0,7.0,97.0,97.0,0.0,300.0,293.0,7.0,2008,sub_area,0.781249999975586,0.49999999996428574,0.0,Slight Decline
502 Pukinmäki,-49.0,95.0,74.0,21.0,1498.0,1547.0,-49.0,526.0,493.0,33.0,972.0,1054.0,-82.0,2008,sub_area,1.2837837837664352,0.69999999999,0.6734693877413578,Slight Decline
370 Pukinmäki,-49.0,95.0,74.0,21.0,1498.0,1547.0,-49.0,526.0,493.0,33.0,972.0,1054.0,-82.0,2008,sub_area,1.2837837837664352,0.69999999999,0.6734693877413578,Slight Decline
503 Malmi,-171.0,322.0,174.0,148.0,3965.0,4264.0,-299.0,1020.0,1122.0,-102.0,2945.0,3142.0,-197.0,2008,sub_area,1.8505747126330427,0.6689038031304947,-0.34113712374467847,Moderate Decline
381 Ylä-Malmi,-176.0,79.0,71.0,8.0,1277.0,1455.0,-178.0,361.0,365.0,-4.0,916.0,1090.0,-174.0,2008,sub_area,1.1126760563223566,0.9569892473066829,-0.022471910112233304,Moderate Decline
382 Ala-Malmi,-10.0,66.0,43.0,23.0,880.0,905.0,-25.0,233.0,227.0,6.0,647.0,678.0,-31.0,2008,sub_area,1.5348837208945376,0.5208333333224827,0.2399999999904,Slight Decline
385 Malmin lentokenttä,-29.0,28.0,4.0,24.0,287.0,349.0,-62.0,56.0,110.0,-54.0,231.0,239.0,-8.0,2008,sub_area,6.99999999825,0.7209302325497566,-0.870967741921436,Slight Decline
391 Tapaninvainio,-33.0,69.0,33.0,36.0,668.0,735.0,-67.0,159.0,209.0,-50.0,509.0,526.0,-17.0,2008,sub_area,2.0909090908457304,0.6504854368868884,-0.7462686567052795,Slight Decline
392 Tapanila,77.0,80.0,23.0,57.0,851.0,818.0,33.0,209.0,211.0,-2.0,642.0,607.0,35.0,2008,sub_area,3.4782608694139885,0.36666666666259257,-0.06060606060422406,Slight Growth
504 Suutarila,54.0,121.0,70.0,51.0,1776.0,1764.0,12.0,473.0,562.0,-89.0,1303.0,1202.0,101.0,2008,sub_area,1.7285714285467346,0.19047619047316705,-7.416666666048611,Slight Growth
401 Siltamäki,58.0,62.0,48.0,14.0,1186.0,1132.0,54.0,366.0,365.0,1.0,820.0,767.0,53.0,2008,sub_area,1.291666666639757,0.7941176470471453,0.018518518518175583,Slight Growth
403 Töyrynummi,-4.0,59.0,22.0,37.0,590.0,632.0,-42.0,107.0,197.0,-90.0,483.0,435.0,48.0,2008,sub_area,2.681818181696281,0.5316455696135235,-2.1428571428061227,Slight Decline
505 Puistola,46.0,236.0,91.0,145.0,2703.0,2812.0,-109.0,883.0,976.0,-93.0,1820.0,1836.0,-16.0,2008,sub_area,2.5934065933780945,0.42913385826602707,-0.8532110091664843,Slight Growth
402 Tapulikaupunki,53.0,107.0,54.0,53.0,1584.0,1583.0,1.0,588.0,611.0,-23.0,996.0,972.0,24.0,2008,sub_area,1.9814814814447874,0.018518518518175583,-22.999999976999998,Slight Growth
411 Puistola,-25.0,90.0,30.0,60.0,668.0,761.0,-93.0,179.0,248.0,-69.0,489.0,513.0,-24.0,2008,sub_area,2.9999999999,0.6078431372509292,-0.7419354838629899,Slight Decline
412 Heikinlaakso,22.0,39.0,7.0,32.0,446.0,459.0,-13.0,114.0,113.0,1.0,332.0,346.0,-14.0,2008,sub_area,5.571428570632653,0.28888888888246916,0.07692307691715976,Slight Growth
506 Jakomäki,-13.0,68.0,64.0,4.0,1117.0,1128.0,-11.0,273.0,310.0,-37.0,844.0,818.0,26.0,2008,sub_area,1.0624999999833984,0.7333333332844444,-3.3636363633305786,Slight Decline
414 Jakomäki,-13.0,68.0,64.0,4.0,1117.0,1128.0,-11.0,273.0,310.0,-37.0,844.0,818.0,26.0,2008,sub_area,1.0624999999833984,0.7333333332844444,-3.3636363633305786,Slight Decline
6 Kaakkoinen suurpiiri,122.0,537.0,375.0,162.0,7770.0,7784.0,-14.0,2063.0,1949.0,114.0,5707.0,5835.0,-128.0,2008,major_district,1.4319999999961814,0.07954545454500259,8.14285714227551,Moderate Growth
601 Kulosaari,-36.0,29.0,29.0,0.0,627.0,657.0,-30.0,204.0,175.0,29.0,423.0,482.0,-59.0,2008,sub_area,0.9999999999655173,0.9999999999666667,0.9666666666344444,Slight Decline
420 Kulosaari,-32.0,28.0,29.0,-1.0,626.0,651.0,-25.0,204.0,171.0,33.0,422.0,480.0,-58.0,2008,sub_area,0.9655172413460167,0.9615384615014793,1.3199999999472,Slight Decline
602 Herttoniemi,88.0,327.0,215.0,112.0,4897.0,4910.0,-13.0,1271.0,1231.0,40.0,3626.0,3679.0,-53.0,2008,sub_area,1.5209302325510654,0.103999999999168,3.0769230766863904,Slight Growth
431 Länsi-Herttoniemi,-19.0,78.0,88.0,-10.0,1608.0,1615.0,-7.0,406.0,357.0,49.0,1202.0,1258.0,-56.0,2008,sub_area,0.886363636353564,0.41176470585813146,6.999999999,Slight Decline
432 Roihuvuori,9.0,84.0,68.0,16.0,1434.0,1433.0,1.0,404.0,355.0,49.0,1030.0,1078.0,-48.0,2008,sub_area,1.2352941176288927,0.0588235294083045,48.999999951,Slight Growth
434 Herttoniemenranta,125.0,144.0,31.0,113.0,1654.0,1644.0,10.0,395.0,473.0,-78.0,1259.0,1171.0,88.0,2008,sub_area,4.645161290172736,0.0813008130074691,-7.79999999922,Moderate Growth
440 Tammisalo,-24.0,21.0,26.0,-5.0,188.0,203.0,-15.0,62.0,45.0,17.0,126.0,158.0,-32.0,2008,sub_area,0.8076923076612426,0.7499999999625,1.1333333332577777,Slight Decline
603 Laajasalo,70.0,181.0,131.0,50.0,2246.0,2217.0,29.0,588.0,543.0,45.0,1658.0,1674.0,-16.0,2008,sub_area,1.38167938930243,0.36708860759029,1.5517241378775268,Slight Growth
480 Vartiosaari,-2.0,,,,,2.0,-2.0,,,,,2.0,-2.0,2008,sub_area,,,,Slight Decline
491 Yliskylä,-6.0,102.0,117.0,-15.0,1455.0,1435.0,20.0,362.0,327.0,35.0,1093.0,1108.0,-15.0,2008,sub_area,0.8717948717874205,0.5714285714122449,1.7499999999125,Slight Decline
492 Jollas,64.0,40.0,7.0,33.0,413.0,382.0,31.0,119.0,85.0,34.0,294.0,297.0,-3.0,2008,sub_area,5.714285713469388,0.4843749999924316,1.0967741935130073,Slight Growth
494 Tahvonlahti,14.0,4.0,,4.0,53.0,44.0,9.0,12.0,21.0,-9.0,41.0,23.0,18.0,2008,sub_area,,0.6923076922544379,-0.9999999998888889,Slight Growth
495 Hevossalmi,-5.0,26.0,6.0,20.0,220.0,240.0,-20.0,46.0,81.0,-35.0,174.0,159.0,15.0,2008,sub_area,4.333333332611111,0.49999999998750005,-1.7499999999125,Slight Decline
510 Santahamina,2.0,8.0,1.0,7.0,97.0,108.0,-11.0,47.0,29.0,18.0,50.0,79.0,-29.0,2008,sub_area,7.999999991999999,0.6111111110771605,1.6363636362148761,Slight Growth
7 Itäinen suurpiiri,1026.0,1236.0,741.0,495.0,17126.0,16574.0,552.0,5021.0,4124.0,897.0,12105.0,12450.0,-345.0,2008,major_district,1.6680161943297327,0.5272206303719893,1.6249999999970561,Strong Growth
701 Vartiokylä,259.0,216.0,159.0,57.0,3419.0,3224.0,195.0,956.0,717.0,239.0,2463.0,2507.0,-44.0,2008,sub_area,1.358490566029192,0.7738095238064532,1.2256410256347403,Moderate Growth
451 Vartioharju,41.0,62.0,26.0,36.0,758.0,750.0,8.0,141.0,134.0,7.0,617.0,616.0,1.0,2008,sub_area,2.3846153845236686,0.1818181818140496,0.874999999890625,Slight Growth
452 Puotila,32.0,52.0,48.0,4.0,925.0,905.0,20.0,275.0,189.0,86.0,650.0,716.0,-66.0,2008,sub_area,1.083333333310764,0.8333333332986111,4.299999999785,Slight Growth
453 Puotinharju,-32.0,25.0,46.0,-21.0,503.0,509.0,-6.0,143.0,128.0,15.0,360.0,381.0,-21.0,2008,sub_area,0.5434782608577505,0.22222222221399177,2.4999999995833333,Slight Decline
455 Marjaniemi,16.0,14.0,9.0,5.0,183.0,174.0,9.0,50.0,54.0,-4.0,133.0,120.0,13.0,2008,sub_area,1.555555555382716,0.6428571428112245,-0.4444444443950617,Slight Growth
457 Itäkeskus,200.0,62.0,30.0,32.0,1041.0,877.0,164.0,339.0,207.0,132.0,702.0,670.0,32.0,2008,sub_area,2.066666666597778,0.836734693873282,0.8048780487755801,Moderate Growth
702 Myllypuro,122.0,111.0,115.0,-4.0,1497.0,1353.0,144.0,383.0,321.0,62.0,1114.0,1032.0,82.0,2008,sub_area,0.9652173912959546,0.972972972966399,0.43055555555256564,Moderate Growth
454 Myllypuro,122.0,111.0,115.0,-4.0,1497.0,1353.0,144.0,383.0,321.0,62.0,1114.0,1032.0,82.0,2008,sub_area,0.9652173912959546,0.972972972966399,0.43055555555256564,Moderate Growth
703 Mellunkylä,-47.0,401.0,280.0,121.0,5896.0,6050.0,-154.0,1987.0,1579.0,408.0,3909.0,4471.0,-562.0,2008,sub_area,1.4321428571377424,0.5599999999979637,2.6493506493334458,Slight Decline
471 Kontula,-22.0,124.0,159.0,-35.0,1851.0,1832.0,19.0,541.0,450.0,91.0,1310.0,1382.0,-72.0,2008,sub_area,0.7798742138315732,0.35185185184533607,4.789473683958449,Slight Decline
472 Vesala,-17.0,87.0,38.0,49.0,1187.0,1253.0,-66.0,418.0,308.0,110.0,769.0,945.0,-176.0,2008,sub_area,2.2894736841502774,0.5739130434732703,1.666666666641414,Slight Decline
473 Mellunmäki,58.0,69.0,59.0,10.0,1210.0,1165.0,45.0,407.0,302.0,105.0,803.0,863.0,-60.0,2008,sub_area,1.1694915254039069,0.8181818181669422,2.3333333332814816,Slight Growth
474 Kivikko,-25.0,86.0,10.0,76.0,1054.0,1147.0,-93.0,382.0,335.0,47.0,672.0,812.0,-140.0,2008,sub_area,8.59999999914,0.5502958579849095,0.5053763440805873,Slight Decline
475 Kurkimäki,-41.0,35.0,14.0,21.0,594.0,653.0,-59.0,239.0,184.0,55.0,355.0,469.0,-114.0,2008,sub_area,2.4999999998214286,0.7374999999907812,0.9322033898147085,Slight Decline
704 Vuosaari,692.0,508.0,187.0,321.0,6314.0,5947.0,367.0,1695.0,1507.0,188.0,4619.0,4440.0,179.0,2008,sub_area,2.716577540092425,0.5334302325573642,0.5122615803800756,Strong Growth
541 Keski-Vuosaari,183.0,178.0,117.0,61.0,2182.0,2072.0,110.0,555.0,558.0,-3.0,1627.0,1514.0,113.0,2008,sub_area,1.5213675213545181,0.6432748537974078,-0.027272727272479338,Moderate Growth
542 Nordsjön kartano,0.0,,,,,,,,,,,,,2008,sub_area,,,,Slight Decline
544 Meri-Rastila,126.0,77.0,13.0,64.0,1071.0,1005.0,66.0,354.0,259.0,95.0,717.0,746.0,-29.0,2008,sub_area,5.923076922621302,0.5076923076884025,1.4393939393721302,Moderate Growth
545 Kallahti,43.0,105.0,22.0,83.0,1344.0,1377.0,-33.0,369.0,342.0,27.0,975.0,1035.0,-60.0,2008,sub_area,4.7727272725103305,0.2844827586182372,0.8181818181570248,Slight Growth
546 Aurinkolahti,359.0,107.0,18.0,89.0,1258.0,986.0,272.0,321.0,237.0,84.0,937.0,749.0,188.0,2008,sub_area,5.944444444114198,0.7534626038760293,0.30882352941062935,Moderate Growth
547 Rastila,-21.0,41.0,17.0,24.0,457.0,507.0,-50.0,94.0,111.0,-17.0,363.0,396.0,-33.0,2008,sub_area,2.4117647057404845,0.6756756756665449,-0.3399999999932,Slight Decline
8 Östersundomin suurpiiri,2063.0,19.0,3.0,16.0,115.0,62.0,53.0,53.0,22.0,31.0,62.0,40.0,22.0,2008,major_district,6.333333331222222,0.7681159420178534,0.5849056603663225,Strong Growth
801 Östersundom,2063.0,19.0,3.0,16.0,115.0,62.0,53.0,53.0,22.0,31.0,62.0,40.0,22.0,2008,sub_area,6.333333331222222,0.7681159420178534,0.5849056603663225,Strong Growth
550 Östersundom,540.0,4.0,3.0,1.0,59.0,32.0,27.0,24.0,10.0,14.0,35.0,22.0,13.0,2008,sub_area,1.3333333328888888,0.9642857142512755,0.5185185184993141,Strong Growth
580 Karhusaari,374.0,5.0,,5.0,20.0,10.0,10.0,7.0,,7.0,13.0,10.0,3.0,2008,sub_area,,0.6666666666222222,0.69999999993,Moderate Growth
591 Landbo,859.0,2.0,,2.0,23.0,14.0,9.0,16.0,9.0,7.0,7.0,5.0,2.0,2008,sub_area,,0.8181818181074381,0.777777777691358,Strong Growth
592 Puroniitty,192.0,8.0,,8.0,11.0,2.0,9.0,6.0,1.0,5.0,5.0,1.0,4.0,2008,sub_area,,0.5294117646747405,0.5555555554938272,Moderate Growth
Muut,421.0,47.0,662.0,-615.0,7492.0,6895.0,597.0,1202.0,2033.0,-831.0,6290.0,4862.0,1428.0,2008,other,0.0709969788518565,0.49257425742533617,-1.3919597989926433,Moderate Growth
Kantakaupunki,2378.0,1801.0,1321.0,480.0,42238.0,40123.0,2115.0,14688.0,11059.0,3629.0,27550.0,29064.0,-1514.0,2008,other,1.3633610900822382,0.81502890173379,1.7158392434980068,Strong Growth
Esikaupungit,5302.0,4559.0,2907.0,1652.0,67425.0,65638.0,1787.0,21080.0,19379.0,1701.0,46345.0,46259.0,86.0,2008,other,1.5682834537318306,0.5196277987785637,0.951874650251286,Strong Growth
