Area,Pop_Change,Births,Deaths,Natural_Increase,Total_InMig,Total_OutMig,Total_NetMig,CB_InMig,CB_OutMig,CB_NetMig,Int_InMig,Int_OutMig,Int_NetMig,Year,Level,Birth_Death_Ratio,Migration_Share,CB_Share,Growth_Class
180 Laakso,-52.0,14.0,22.0,-8.0,430.0,444.0,-14.0,128.0,121.0,7.0,302.0,323.0,-21.0,2003,sub_area,0.6363636363347107,0.6363636363347107,0.49999999996428574,Slight Decline
202 Munkkiniemi,-133.0,179.0,202.0,-23.0,3336.0,3403.0,-67.0,1049.0,1049.0,0.0,2287.0,2354.0,-67.0,2003,sub_area,0.8861386138569993,0.7444444444361729,0.0,Moderate Decline
301 Vanha Munkkiniemi,30.0,92.0,111.0,-19.0,1660.0,1580.0,80.0,491.0,471.0,20.0,1169.0,1109.0,60.0,2003,sub_area,0.8288288288213619,0.8080808080726456,0.249999999996875,Slight Growth
302 Kuusisaari,8.0,4.0,3.0,1.0,63.0,56.0,7.0,19.0,11.0,8.0,44.0,45.0,-1.0,2003,sub_area,1.3333333328888888,0.874999999890625,1.1428571426938776,Slight Growth
303 Lehtisaari,-10.0,12.0,5.0,7.0,152.0,169.0,-17.0,50.0,52.0,-2.0,102.0,117.0,-15.0,2003,sub_area,2.39999999952,0.7083333333038194,-0.117647058816609,Slight Decline
304 Munkkivuori,-86.0,47.0,72.0,-25.0,927.0,977.0,-50.0,296.0,332.0,-36.0,631.0,645.0,-14.0,2003,sub_area,0.6527777777687114,0.6666666666577777,-0.7199999999856,Slight Decline
305 Niemenmäki,-61.0,6.0,8.0,-2.0,266.0,323.0,-57.0,104.0,86.0,18.0,162.0,237.0,-75.0,2003,sub_area,0.74999999990625,0.9661016948988796,0.3157894736786704,Slight Decline
306 Talinranta,-14.0,18.0,3.0,15.0,268.0,298.0,-30.0,89.0,97.0,-8.0,179.0,201.0,-22.0,2003,sub_area,5.999999998,0.6666666666518519,-0.2666666666577778,Slight Decline
203 Haaga,-27.0,260.0,268.0,-8.0,5860.0,5802.0,58.0,1853.0,1880.0,-27.0,4007.0,3922.0,85.0,2003,sub_area,0.9701492537277233,0.8787878787745638,-0.4655172413712842,Slight Decline
291 Etelä-Haaga,134.0,131.0,118.0,13.0,3181.0,3025.0,156.0,1029.0,979.0,50.0,2152.0,2046.0,106.0,2003,sub_area,1.1101694915160154,0.9230769230714612,0.32051282051076596,Moderate Growth
292 Kivihaka,-7.0,8.0,8.0,0.0,171.0,178.0,-7.0,63.0,64.0,-1.0,108.0,114.0,-6.0,2003,sub_area,0.999999999875,0.9999999998571428,-0.1428571428367347,Slight Decline
293 Pohjois-Haaga,-83.0,92.0,112.0,-20.0,1662.0,1706.0,-44.0,491.0,514.0,-23.0,1171.0,1192.0,-21.0,2003,sub_area,0.8214285714212373,0.6874999999892578,-0.5227272727153927,Slight Decline
294 Lassila,-71.0,29.0,30.0,-1.0,846.0,893.0,-47.0,270.0,323.0,-53.0,576.0,570.0,6.0,2003,sub_area,0.9666666666344444,0.9791666666462674,-1.1276595744440925,Slight Decline
204 Pitäjänmäki,-273.0,199.0,108.0,91.0,3045.0,3359.0,-314.0,955.0,1265.0,-310.0,2090.0,2094.0,-4.0,2003,sub_area,1.8425925925755315,0.7753086419733943,-0.9872611464936711,Moderate Decline
320 Konala,-75.0,44.0,32.0,12.0,777.0,850.0,-73.0,261.0,335.0,-74.0,516.0,515.0,1.0,2003,sub_area,1.3749999999570315,0.8588235294016608,-1.0136986301231,Slight Decline
461 Pajamäki,-43.0,17.0,11.0,6.0,303.0,351.0,-48.0,88.0,126.0,-38.0,215.0,225.0,-10.0,2003,sub_area,1.5454545453140496,0.888888888872428,-0.7916666666501737,Slight Decline
462 Tali,-36.0,32.0,2.0,30.0,205.0,272.0,-67.0,43.0,89.0,-46.0,162.0,183.0,-21.0,2003,sub_area,15.999999992,0.6907216494774152,-0.6865671641688572,Slight Decline
463 Reimarla,-98.0,50.0,52.0,-2.0,1208.0,1273.0,-65.0,400.0,424.0,-24.0,808.0,849.0,-41.0,2003,sub_area,0.9615384615199705,0.9701492537168634,-0.36923076922508874,Slight Decline
464 Marttila,7.0,5.0,2.0,3.0,19.0,17.0,2.0,7.0,4.0,3.0,12.0,13.0,-1.0,2003,sub_area,2.49999999875,0.39999999992,1.49999999925,Slight Growth
465 Pitäjänmäen teoll.,-28.0,51.0,9.0,42.0,533.0,596.0,-63.0,156.0,287.0,-131.0,377.0,309.0,68.0,2003,sub_area,5.666666666037037,0.5999999999942857,-2.0793650793320735,Slight Decline
205 Kaarela,173.0,326.0,148.0,178.0,5879.0,5818.0,61.0,1802.0,1855.0,-53.0,4077.0,3963.0,114.0,2003,sub_area,2.20270270268782,0.25523012552194463,-0.86885245900215,Moderate Growth
331 Kannelmäki,49.0,115.0,102.0,13.0,2941.0,2854.0,87.0,896.0,889.0,7.0,2045.0,1965.0,80.0,2003,sub_area,1.1274509803811035,0.8699999999913,0.0804597701140177,Slight Growth
332 Maununneva,12.0,23.0,12.0,11.0,232.0,231.0,1.0,65.0,69.0,-4.0,167.0,162.0,5.0,2003,sub_area,1.9166666665069445,0.08333333332638888,-3.9999999959999997,Slight Growth
333 Malminkartano,99.0,139.0,32.0,107.0,2302.0,2296.0,6.0,703.0,749.0,-46.0,1599.0,1547.0,52.0,2003,sub_area,4.343749999864258,0.053097345132273474,-7.666666665388889,Slight Growth
334 Hakuninmaa,13.0,49.0,2.0,47.0,404.0,437.0,-33.0,138.0,148.0,-10.0,266.0,289.0,-23.0,2003,sub_area,24.499999987749998,0.4124999999948437,-0.30303030302112033,Slight Growth
3 Keskinen suurpiiri,257.0,693.0,715.0,-22.0,20380.0,19701.0,679.0,5738.0,4866.0,872.0,14642.0,14835.0,-193.0,2003,major_district,0.9692307692294136,0.9686162624807866,1.2842415316623208,Moderate Growth
301 Kallio,-192.0,187.0,217.0,-30.0,7763.0,7759.0,4.0,2381.0,1884.0,497.0,5382.0,5875.0,-493.0,2003,sub_area,0.8617511520697616,0.11764705882006922,124.2499999689375,Moderate Decline
100 Sörnäinen,19.0,59.0,46.0,13.0,2087.0,2056.0,31.0,643.0,503.0,140.0,1444.0,1553.0,-109.0,2003,sub_area,1.2826086956242913,0.7045454545294422,4.516129032112383,Slight Growth
111 Siltasaari,-18.0,23.0,15.0,8.0,574.0,591.0,-17.0,166.0,149.0,17.0,408.0,442.0,-34.0,2003,sub_area,1.5333333332311112,0.6799999999728,0.9999999999411765,Slight Decline
112 Linjat,-97.0,68.0,99.0,-31.0,2835.0,2822.0,13.0,902.0,680.0,222.0,1933.0,2142.0,-209.0,2003,sub_area,0.6868686868617487,0.2954545454478306,17.076923075609468,Slight Decline
113 Torkkelinmäki,-96.0,37.0,57.0,-20.0,2267.0,2290.0,-23.0,670.0,552.0,118.0,1597.0,1738.0,-141.0,2003,sub_area,0.6491228070061558,0.5348837209177935,5.130434782385633,Slight Decline
302 Alppiharju,-137.0,78.0,141.0,-63.0,3727.0,3717.0,10.0,1196.0,944.0,252.0,2531.0,2773.0,-242.0,2003,sub_area,0.5531914893577788,0.13698630136798648,25.19999999748,Moderate Decline
121 Harju,-110.0,45.0,99.0,-54.0,2416.0,2412.0,4.0,789.0,593.0,196.0,1627.0,1819.0,-192.0,2003,sub_area,0.45454545454086315,0.06896551724019026,48.99999998775,Moderate Decline
122 Alppila,-27.0,33.0,42.0,-9.0,1311.0,1305.0,6.0,407.0,351.0,56.0,904.0,954.0,-50.0,2003,sub_area,0.7857142856955783,0.39999999997333335,9.333333331777778,Slight Decline
303 Vallila,-84.0,118.0,98.0,20.0,3030.0,3075.0,-45.0,792.0,784.0,8.0,2238.0,2291.0,-53.0,2003,sub_area,1.2040816326407746,0.6923076922970414,0.17777777777382717,Slight Decline
210 Hermanni,5.0,34.0,31.0,3.0,851.0,829.0,22.0,190.0,222.0,-32.0,661.0,607.0,54.0,2003,sub_area,1.0967741935130073,0.8799999999648,-1.4545454544793388,Slight Growth
220 Vallila,-89.0,84.0,67.0,17.0,2179.0,2246.0,-67.0,602.0,562.0,40.0,1577.0,1684.0,-107.0,2003,sub_area,1.2537313432648696,0.7976190476095522,0.5970149253642236,Slight Decline
304 Pasila,-117.0,87.0,61.0,26.0,1846.0,1963.0,-117.0,489.0,499.0,-10.0,1357.0,1464.0,-107.0,2003,sub_area,1.4262295081733405,0.8181818181760967,-0.08547008546935496,Moderate Decline
171 Länsi-Pasila,-104.0,46.0,24.0,22.0,960.0,1072.0,-112.0,211.0,271.0,-60.0,749.0,801.0,-52.0,2003,sub_area,1.9166666665868055,0.8358208955161507,-0.5357142857095025,Moderate Decline
173 Itä-Pasila,-17.0,36.0,37.0,-1.0,840.0,846.0,-6.0,263.0,218.0,45.0,577.0,628.0,-51.0,2003,sub_area,0.9729729729466765,0.8571428570204082,7.49999999875,Slight Decline
174 Keski-Pasila,4.0,5.0,,5.0,46.0,45.0,1.0,15.0,10.0,5.0,31.0,35.0,-4.0,2003,sub_area,,0.16666666663888888,4.999999995,Slight Growth
305 Vanhakaupunki,787.0,223.0,198.0,25.0,4014.0,3187.0,827.0,880.0,755.0,125.0,3134.0,2432.0,702.0,2003,sub_area,1.1262626262569382,0.9706572769941659,0.1511487303504823,Strong Growth
230 Toukola,796.0,35.0,17.0,18.0,1173.0,390.0,783.0,160.0,88.0,72.0,1013.0,302.0,711.0,2003,sub_area,2.0588235292906574,0.97752808988642,0.09195402298838831,Strong Growth
240 Kumpula,-6.0,48.0,31.0,17.0,726.0,755.0,-29.0,202.0,170.0,32.0,524.0,585.0,-61.0,2003,sub_area,1.5483870967242457,0.6304347825949906,1.103448275824019,Slight Decline
250 Käpylä,-22.0,105.0,118.0,-13.0,1377.0,1372.0,5.0,281.0,342.0,-61.0,1096.0,1030.0,66.0,2003,sub_area,0.8898305084670353,0.2777777777623457,-12.199999997559999,Slight Decline
260 Koskela,31.0,29.0,29.0,0.0,697.0,614.0,83.0,226.0,143.0,83.0,471.0,471.0,0.0,2003,sub_area,0.9999999999655173,0.9999999999879517,0.9999999999879517,Slight Growth
270 Vanhakaupunki,-12.0,6.0,3.0,3.0,41.0,56.0,-15.0,11.0,12.0,-1.0,30.0,44.0,-14.0,2003,sub_area,1.9999999993333333,0.8333333332870371,-0.06666666666222222,Slight Decline
4 Pohjoinen suurpiiri,95.0,413.0,331.0,82.0,6278.0,6052.0,226.0,1168.0,1563.0,-395.0,5110.0,4489.0,621.0,2003,major_district,1.2477341389690402,0.7337662337638514,-1.7477876106117356,Slight Growth
401 Maunula,-72.0,58.0,120.0,-62.0,1399.0,1366.0,33.0,243.0,331.0,-88.0,1156.0,1035.0,121.0,2003,sub_area,0.48333333332930556,0.34736842104897503,-2.6666666665858587,Slight Decline
281 Pirkkola,1.0,4.0,4.0,0.0,46.0,45.0,1.0,8.0,16.0,-8.0,38.0,29.0,9.0,2003,sub_area,0.99999999975,0.9999999989999999,-7.999999991999999,Slight Growth
282 Maunula,-102.0,50.0,110.0,-60.0,1178.0,1178.0,0.0,197.0,274.0,-77.0,981.0,904.0,77.0,2003,sub_area,0.4545454545413223,0.0,-77000000000.0,Moderate Decline
